id,type,title,director,cast,country,release_year,rating,duration,listed_in,description
80,Movie,Lage Raho Munna Bhai,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Vidya Balan, Boman Irani",India,2006,TV-PG,144 min,"Comedies, Dramas, International Movies","A gangster starts to see the spirit of Mahatma Gandhi. Through his interactions with the spirit, he begins to help people solve their problems using Gandhian principles."
81,Movie,NH10,Navdeep Singh,"Anushka Sharma, Neil Bhoopalam, Darshan Kumaar",India,2015,TV-MA,115 min,"Action & Adventure, Dramas, Thrillers","A young couple's road trip goes awry when they witness an honor killing. Their attempt to intervene puts their own lives in grave danger."
82,Movie,Bhaag Milkha Bhaag,Rakeysh Omprakash Mehra,"Farhan Akhtar, Sonam Kapoor, Divya Dutta, Pavan Malhotra",India,2013,TV-14,186 min,"Dramas, International Movies, Sports Movies","The true story of the 'Flying Sikh' - world champion runner and Olympian Milkha Singh - who overcame the massacre of his family, civil war during the India-Pakistan partition, and homelessness to become one of India's most iconic athletes."
83,TV Show,Gullak,Amrit Raj Gupta,"Jameel Khan, Geetanjali Kulkarni, Vaibhav Raj Gupta, Harsh Mayar",India,2019,TV-PG,2 Seasons,"Comedies, Dramas, International TV Shows","A collection of heartwarming and relatable tales from the life of the Mishra family, set in a small town in North India. Each episode is a slice of middle-class life."
84,Movie,Mary Kom,Omung Kumar,"Priyanka Chopra, Darshan Kumaar, Sunil Thapa",India,2014,TV-14,122 min,"Dramas, International Movies, Sports Movies","The story of the Indian boxer Mary Kom, who overcame numerous hardships to become a world champion."
85,Movie,Gangs of Wasseypur,Anurag Kashyap,"Manoj Bajpayee, Richa Chadda, Nawazuddin Siddiqui, Tigmanshu Dhulia, Pankaj Tripathi, Huma Qureshi, Rajkummar Rao, Jaideep Ahlawat",India,2012,TV-MA,321 min,"Action & Adventure, Dramas, International Movies","The complete saga. A clash between Sultan and Shahid Khan leads to Khan's expulsion from Wasseypur, and ignites a brutal fifty-year feud spanning three generations."
86,Movie,Bulbbul,Anvita Dutt,"Tripti Dimri, Avinash Tiwary, Paoli Dam, Rahul Bose, Parambrata Chatterjee",India,2020,TV-MA,94 min,"Dramas, Horror Movies, International Movies","A child bride grows into an enigmatic woman ruling a household, harboring a painful past as supernatural murders of men plague her village."
87,TV Show,Apharan,Sidharth Sengupta,"Arunoday Singh, Mahie Gill, Nidhi Singh, Varun Badola",India,2018,TV-MA,1 Season,"Action & Adventure, Crime TV Shows, International TV Shows","A senior inspector with the Uttarakhand police is lured into kidnapping a young girl at her own request. The simple plan goes horribly wrong, landing him in deep trouble."
88,Movie,Lipstick Under My Burkha,Alankrita Shrivastava,"Ratna Pathak Shah, Konkona Sen Sharma, Aahana Kumra, Plabita Borthakur",India,2016,TV-MA,117 min,"Comedies, Dramas, Independent Movies","Four women in a small town in India seek freedom from the confines of their conservative society through small acts of rebellion."
89,Movie,Raazi,Meghna Gulzar,"Alia Bhatt, Vicky Kaushal, Jaideep Ahlawat, Rajit Kapur",India,2018,TV-14,138 min,"Action & Adventure, Dramas, Thrillers","In 1971, a young Indian woman agrees to marry a Pakistani army officer to spy for her country during the Indo-Pakistani War."
90,Movie,Simmba,Rohit Shetty,"Ranveer Singh, Sara Ali Khan, Sonu Sood, Ashutosh Rana",India,2018,TV-MA,158 min,"Action & Adventure, Comedies, Dramas","A corrupt and unethical police officer enjoys all the perks of his position until a tragedy strikes close to him, forcing him to choose the path of righteousness."
91,Movie,Bareilly Ki Barfi,Ashwiny Iyer Tiwari,"Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao, Pankaj Tripathi",India,2017,TV-14,116 min,"Comedies, International Movies, Romantic Movies","A free-spirited young woman in a small town in India falls in love with the author of a book. She enlists the help of a local press owner to find him, leading to a comedy of errors."
92,Movie,Hindi Medium,Saket Chaudhary,"Irrfan Khan, Saba Qamar, Deepak Dobriyal, Dishita Sehgal",India,2017,TV-14,132 min,"Comedies, Dramas, International Movies","A couple from Chandni Chowk in Delhi aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi."
93,TV Show,Little Things,Dhruv Sehgal,"Dhruv Sehgal, Mithila Palkar",India,2016,TV-MA,4 Seasons,"Comedies, Dramas, Romantic TV Shows","A cohabiting couple in their 20s navigate the ups and downs of work, modern-day relationships and finding themselves in contemporary Mumbai."
94,Movie,Manjhi - The Mountain Man,Ketan Mehta,"Nawazuddin Siddiqui, Radhika Apte, Tigmanshu Dhulia",India,2015,TV-14,120 min,"Dramas, Independent Movies, International Movies","The true story of Dashrath Manjhi, who carved a path through a mountain using only a hammer and chisel, spurred on by the love for his late wife."
95,Movie,Chhichhore,Nitesh Tiwari,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik Babbar",India,2019,TV-14,143 min,"Comedies, Dramas, International Movies","A tragic incident forces a middle-aged man to reflect on his college days along with his friends, who were labelled as 'losers'."
96,Movie,Special 26,Neeraj Pandey,"Akshay Kumar, Anupam Kher, Manoj Bajpayee, Jimmy Sheirgill, Kajal Aggarwal",India,2013,TV-14,144 min,"Dramas, International Movies, Thrillers","A team of con artists pose as CBI officers and conduct raids to rob politicians and businessmen of their black money. The real CBI is on their trail."
97,Movie,Kaminey,Vishal Bhardwaj,"Shahid Kapoor, Priyanka Chopra, Amole Gupte",India,2009,TV-MA,134 min,"Action & Adventure, Comedies, Crime Movies","The story of a pair of twins, one with a lisp and one with a stutter, who get embroiled in the world of gangsters, politicians, and rogue cops."
98,Movie,Rock On!!,Abhishek Kapoor,"Farhan Akhtar, Arjun Rampal, Purab Kohli, Luke Kenny, Prachi Desai, Shahana Goswami",India,2008,TV-14,145 min,"Dramas, International Movies, Music & Musicals","Four friends reunite to relive their glory days as a rock band. They must overcome their past conflicts to perform together one last time."
99,Movie,Wake Up Sid,Ayan Mukerji,"Ranbir Kapoor, Konkona Sen Sharma, Anupam Kher, Supriya Pathak",India,2009,TV-PG,138 min,"Comedies, Dramas, Romantic Movies","A spoiled, lazy college student has a rude awakening after he fails his final exams. He moves in with a driven, aspiring writer who teaches him about responsibility."
100,Movie,Black,Sanjay Leela Bhansali,"Amitabh Bachchan, Rani Mukerji, Shernaz Patel, Ayesha Kapur",India,2005,PG,122 min,"Dramas, International Movies","The cathartic story of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world."
101,Movie,Oye Lucky! Lucky Oye!,Dibakar Banerjee,"Abhay Deol, Paresh Rawal, Neetu Chandra, Manu Rishi Chadha",India,2008,TV-14,125 min,"Comedies, Crime Movies, Dramas","The story of a charming and fearless thief in Delhi who burgles the homes of the rich with style and wit, becoming a media sensation."
102,Movie,Johnny Gaddaar,Sriram Raghavan,"Neil Nitin Mukesh, Dharmendra, Rimi Sen, Vinay Pathak, Zakir Hussain",India,2007,TV-14,135 min,"Crime Movies, Dramas, Thrillers","A member of a gang of five partners betrays his own, leading to a spiral of deceit, murder, and suspicion. A tribute to classic noir thrillers."
103,TV Show,Special OPS,Neeraj Pandey, Shivam Nair,"Kay Kay Menon, Karan Tacker, Vinay Pathak, Divya Dutta",India,2020,TV-MA,1 Season,"Action & Adventure, Crime TV Shows, Thrillers","The story of a RAW agent who draws parallels between multiple terrorist attacks and is convinced a single person is behind all the attacks."
104,Movie,No One Killed Jessica,Raj Kumar Gupta,"Rani Mukerji, Vidya Balan, Myra Karn, Neil Bhoopalam",India,2011,TV-14,136 min,"Dramas, Thrillers","Based on the true story of the murder of Jessica Lal. Her sister, with the help of a feisty journalist, fights for justice against a corrupt and powerful system."
105,Movie,Aamir,Raj Kumar Gupta,"Rajeev Khandelwal, Gajraj Rao, Aishwarya",India,2008,TV-14,99 min,"Dramas, Thrillers","A young Muslim doctor returning to Mumbai from the UK is forced into a terrorist plot by an extremist who threatens his family."
106,Movie,Fashion,Madhur Bhandarkar,"Priyanka Chopra, Kangana Ranaut, Mugdha Godse, Arjan Bajwa",India,2008,TV-MA,167 min,"Dramas, International Movies","An aspiring small-town girl wants to make it big in the glamorous world of fashion. She experiences the highs and lows of the industry."
107,Movie,Life in a... Metro,Anurag Basu,"Dharmendra, Nafisa Ali, Shilpa Shetty, Kay Kay Menon, Shiney Ahuja, Irrfan Khan, Konkona Sen Sharma, Kangana Ranaut, Sharman Joshi",India,2007,TV-14,132 min,"Dramas, International Movies, Romantic Movies","The interconnected stories of a group of people living in Mumbai, exploring themes of love, infidelity, and ambition in a bustling metropolis."
108,Movie,Jaane Tu... Ya Jaane Na,Abbas Tyrewala,"Imran Khan, Genelia D'Souza, Manjari Phadnis, Ayaz Khan, Paresh Rawal, Ratna Pathak Shah",India,2008,TV-PG,155 min,"Comedies, Romantic Movies","Two best friends are convinced they aren't in love, so they search for the perfect match for each other, only to realize what they have been looking for was right there all along."
109,Movie,Welcome,Anees Bazmee,"Akshay Kumar, Nana Patekar, Anil Kapoor, Katrina Kaif, Paresh Rawal, Feroz Khan, Mallika Sherawat",India,2007,TV-14,159 min,"Comedies, International Movies","A man from a respectable family falls in love with a beautiful woman, but her brothers are notorious gangsters. He must navigate their dangerous world to win her hand."
110,Movie,Dhoom 2,Sanjay Gadhvi,"Hrithik Roshan, Abhishek Bachchan, Aishwarya Rai Bachchan, Uday Chopra, Bipasha Basu",India,2006,TV-14,152 min,"Action & Adventure, International Movies, Thrillers","A cool and daring thief plans a series of spectacular heists. Two cops are on his trail, but the thief always seems to be one step ahead."
111,Movie,Krrish,Rakesh Roshan,"Hrithik Roshan, Priyanka Chopra, Rekha, Naseeruddin Shah",India,2006,TV-PG,185 min,"Action & Adventure, Sci-Fi & Fantasy","The son of a scientist with superpowers must hide his abilities from the world, but when he falls in love, he is drawn to the city and must use his powers to become a hero."
112,TV Show,Inside Edge,Karan Anshuman,"Vivek Oberoi, Richa Chadda, Angad Bedi, Tanuj Virwani, Siddhant Chaturvedi, Sayani Gupta",India,2017,TV-MA,3 Seasons,"Dramas, Sports TV, TV Thrillers","A fictional T20 cricket team, the Mumbai Mavericks, plays in the Powerplay League. The series explores the dark side of cricket, including match-fixing, betting, and power struggles."
113,Movie,Dhoom,Sanjay Gadhvi,"Abhishek Bachchan, Uday Chopra, John Abraham, Esha Deol, Rimi Sen",India,2004,TV-14,129 min,"Action & Adventure, Thrillers","A gang of bikers is on a robbing spree in Mumbai. A no-nonsense cop is assigned to the case and recruits a bumbling mechanic to help him catch the criminals."
114,Movie,Golmaal: Fun Unlimited,Rohit Shetty,"Ajay Devgn, Arshad Warsi, Sharman Joshi, Tusshar Kapoor, Paresh Rawal, Rimi Sen",India,2006,TV-14,150 min,"Comedies, International Movies","Four friends who are always getting into trouble take refuge in the home of a blind couple, pretending one of them is their grandson."
115,Movie,Sarkar,Ram Gopal Varma,"Amitabh Bachchan, Abhishek Bachchan, Kay Kay Menon, Katrina Kaif, Tanisha Mukherjee",India,2005,TV-MA,124 min,"Dramas, Thrillers","An influential political figure in Mumbai, whose power is reminiscent of a mafia don, navigates a world of crime, politics, and family betrayal. An Indian adaptation of 'The Godfather'."
116,Movie,Bluffmaster!,Rohan Sippy,"Abhishek Bachchan, Priyanka Chopra, Riteish Deshmukh, Nana Patekar, Boman Irani",India,2005,TV-14,148 min,"Comedies, Dramas, Thrillers","A master con artist gets a taste of his own medicine when his girlfriend dumps him and he discovers he has a serious illness. He decides to pull one last big con."
117,Movie,Khosla Ka Ghosla!,Dibakar Banerjee,"Anupam Kher, Boman Irani, Parvin Dabas, Vinay Pathak, Ranvir Shorey, Tara Sharma",India,2006,TV-PG,135 min,"Comedies, Dramas","A middle-class man's land is grabbed by a ruthless builder. To get it back, he and his sons devise an ingenious plan to con the con man."
118,Movie,Race,Abbas-Mustan,"Saif Ali Khan, Akshaye Khanna, Bipasha Basu, Katrina Kaif, Anil Kapoor, Sameera Reddy",India,2008,TV-14,155 min,"Action & Adventure, Thrillers","Two stepbrothers who own a stud farm are locked in a bitter rivalry. The film is a web of deceit, betrayal, and murder where everyone is racing against each other."
119,TV Show,Criminal Justice,Tigmanshu Dhulia, Vishal Furia,"Pankaj Tripathi, Vikrant Massey, Jackie Shroff, Anupriya Goenka, Mita Vashisht",India,2019,TV-MA,1 Season,"Crime TV Shows, Dramas","A cab driver's one-night stand turns into a nightmare when he wakes up to find his passenger murdered and he is the prime suspect. A lawyer with a questionable reputation takes his case."
120,Movie,Don,Farhan Akhtar,"Shah Rukh Khan, Priyanka Chopra, Arjun Rampal, Boman Irani, Isha Koppikar",India,2006,TV-14,171 min,"Action & Adventure, Thrillers","A simple man from the city is recruited by a police officer to impersonate a ruthless international drug lord whom he resembles. Things go wrong when the officer is killed."
121,Movie,Parched,Leena Yadav,"Tannishtha Chatterjee, Radhika Apte, Surveen Chawla, Adil Hussain, Lehar Khan",India,2015,TV-MA,116 min,"Dramas, Independent Movies, International Movies","In a rural village in Gujarat, India, four women dare to break free from centuries-old traditions that have kept them in servitude."
122,Movie,Sairat,Nagraj Manjule,"Rinku Rajguru, Akash Thosar",India,2016,TV-14,174 min,"Dramas, International Movies, Romantic Movies","A young couple from different castes fall in love, sparking a conflict between their families. They elope, but their love story is far from a fairytale."
123,Movie,Fanaa,Kunal Kohli,"Aamir Khan, Kajol, Rishi Kapoor, Tabu",India,2006,TV-14,168 min,"Dramas, Romantic Movies, Thrillers","A blind Kashmiri girl falls in love with a charming tour guide. Their love story is interrupted by a terrorist attack, which reveals his true identity."
124,Movie,Om Shanti Om,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Arjun Rampal, Shreyas Talpade, Kirron Kher",India,2007,TV-PG,162 min,"Comedies, Dramas, Romantic Movies","In the 1970s, a junior artist is in love with a superstar, but he is murdered. He is reincarnated in the present day to avenge his death."
125,Movie,Lakshya,Farhan Akhtar,"Hrithik Roshan, Preity Zinta, Amitabh Bachchan, Om Puri",India,2004,TV-14,186 min,"Action & Adventure, Dramas, War Movies","An aimless young man joins the Indian Army on a whim but quits when he finds it too difficult. His life changes when he re-enlists and becomes a disciplined officer, leading his troops in the Kargil War."
126,Movie,Maqbool,Vishal Bhardwaj,"Irrfan Khan, Tabu, Pankaj Kapur, Naseeruddin Shah, Om Puri",India,2003,TV-MA,132 min,"Crime Movies, Dramas","An adaptation of Shakespeare's 'Macbeth' set in the Mumbai underworld. The right-hand man of a powerful gangster is instigated by his boss's mistress to murder him and take his place."
127,Movie,Kabhi Khushi Kabhie Gham...,Karan Johar,"Amitabh Bachchan, Jaya Bachchan, Shah Rukh Khan, Kajol, Hrithik Roshan, Kareena Kapoor, Rani Mukerji",India,2001,PG,210 min,"Dramas, International Movies, Romantic Movies","A rich businessman disowns his adopted son after he marries a woman of a lower social standing. Years later, his younger son embarks on a mission to reunite the family."
128,Movie,Anand,Hrishikesh Mukherjee,"Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal",India,1971,PG,122 min,"Classic Movies, Dramas, International Movies","A terminally ill man with a cheerful and positive outlook on life changes the lives of everyone he meets, especially his cynical doctor."
129,Movie,Chak De! India,Shimit Amin,"Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla",India,2007,PG,153 min,"Dramas, International Movies, Sports Movies","A disgraced former hockey star coaches the Indian women's national hockey team to prove his loyalty to the nation."
130,Movie,Kal Ho Naa Ho,Nikkhil Advani,"Shah Rukh Khan, Saif Ali Khan, Preity Zinta, Jaya Bachchan",India,2003,TV-PG,186 min,"Comedies, Dramas, Romantic Movies","The life of a serious and uptight young woman is changed by the arrival of her new neighbor, a cheerful man who teaches her to live in the moment. But he is hiding a secret."
131,Movie,Mughal-e-Azam,K. Asif,"Prithviraj Kapoor, Dilip Kumar, Madhubala, Durga Khote",India,1960,PG,197 min,"Classic Movies, Dramas, Romantic Movies","A 16th-century prince falls in love with a court dancer and battles with his emperor father over his forbidden love."
132,Movie,Guide,Vijay Anand,"Dev Anand, Waheeda Rehman, Leela Chitnis",India,1965,PG,183 min,"Classic Movies, Dramas, Romantic Movies","A tour guide falls in love with a married woman who is unhappy in her marriage. He helps her pursue her dream of becoming a dancer, but their relationship faces societal challenges."
133,Movie,Pyaasa,Guru Dutt,"Guru Dutt, Mala Sinha, Waheeda Rehman, Johnny Walker",India,1957,PG,146 min,"Classic Movies, Dramas, Music & Musicals","A struggling poet, rejected by society and his loved ones, finds solace in the company of a prostitute who appreciates his work."
134,Movie,Mother India,Mehboob Khan,"Nargis, Sunil Dutt, Rajendra Kumar, Raaj Kumar",India,1957,PG,172 min,"Classic Movies, Dramas, International Movies","A poverty-stricken woman raises her sons through many trials and tribulations. She stands as a symbol of Indian womanhood and sacrifice."
135,TV Show,Malgudi Days,Shankar Nag,"Girish Karnad, Vaishali Kasaravalli, Anant Nag",India,1986,TV-G,1 Season,"Classic TV, Dramas","Based on the works of R.K. Narayan, this series tells the stories of the people living in the fictional South Indian town of Malgudi."
136,Movie,Pushpa: The Rise - Part 1,Sukumar,"Allu Arjun, Fahadh Faasil, Rashmika Mandanna",India,2021,TV-MA,179 min,"Action & Adventure, Dramas, Thrillers","A labourer rises through the ranks of a red sandalwood smuggling syndicate, making enemies along the way."
137,Movie,RRR,S.S. Rajamouli,"N.T. Rama Rao Jr., Ram Charan, Ajay Devgn, Alia Bhatt, Shriya Saran",India,2022,TV-MA,187 min,"Action & Adventure, Dramas, International Movies","A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s."
138,Movie,K.G.F: Chapter 1,Prashanth Neel,"Yash, Srinidhi Shetty, Anant Nag, Ramachandra Raju",India,2018,TV-MA,156 min,"Action & Adventure, Dramas, International Movies","In the 1970s, a fiery young man from the streets of Bombay rises to power in the gold fields of Kolar, a brutal and lawless territory."
139,Movie,K.G.F: Chapter 2,Prashanth Neel,"Yash, Sanjay Dutt, Raveena Tandon, Srinidhi Shetty",India,2022,TV-MA,168 min,"Action & Adventure, Dramas, International Movies","The new king of the Kolar Gold Fields must face new threats from all sides, including the government and his old enemies, as he fights to keep his empire."
140,Movie,Vikram,Lokesh Kanagaraj,"Kamal Haasan, Vijay Sethupathi, Fahadh Faasil, Suriya",India,2022,TV-MA,175 min,"Action & Adventure, Crime Movies, Thrillers","A black-ops squad leader goes after a mysterious group of masked men who have declared war on the system, leading to a bloody and high-stakes conflict."
141,Movie,Soorarai Pottru,Sudha Kongara,"Suriya, Aparna Balamurali, Paresh Rawal, Urvashi",India,2020,TV-14,153 min,"Dramas, International Movies","A man from a remote village dreams of launching his own low-cost airline. He must overcome immense obstacles and a powerful industry rival to make his dream a reality."
142,Movie,Jai Bhim,T. J. Gnanavel,"Suriya, Lijomol Jose, Manikandan, Rajisha Vijayan",India,2021,TV-MA,164 min,"Crime Movies, Dramas, International Movies","When a tribal man is arrested for a crime he did not commit, his wife seeks the help of a crusading lawyer to bring justice to her husband and her community."
143,Movie,Asuran,Vetrimaaran,"Dhanush, Manju Warrier, Ken Karunas, Teejay Arunasalam",India,2019,TV-MA,141 min,"Action & Adventure, Dramas, International Movies","A farmer from a lower caste family goes on the run with his son to protect him after the boy kills a wealthy, upper-caste landlord in a fit of rage."
144,Movie,Vada Chennai,Vetrimaaran,"Dhanush, Ameer, Andrea Jeremiah, Aishwarya Rajesh",India,2018,TV-MA,164 min,"Action & Adventure, Crime Movies, Dramas","A skilled carrom player in North Chennai gets inadvertently involved in a gang war between two powerful criminals. The film chronicles his rise in the underworld."
145,Movie,96,C. Prem Kumar,"Vijay Sethupathi, Trisha Krishnan, Varsha Bollamma, Adithya Bhaskar",India,2018,TV-PG,158 min,"Dramas, International Movies, Romantic Movies","Two high school sweethearts meet at a reunion after 22 years and reminisce about their past, exploring the what-ifs and the could-have-beens."
146,TV Show,Rocket Boys,Abhay Pannu,"Jim Sarbh, Ishwak Singh, Regina Cassandra",India,2022,TV-PG,1 Season,"Dramas, Historical TV, Science & Nature TV","The story of two extraordinary men, Dr. Homi J. Bhabha and Dr. Vikram Sarabhai, who created history while building India's future in science and space."
147,Movie,Shershaah,Vishnuvardhan,"Sidharth Malhotra, Kiara Advani, Shiv Panditt",India,2021,TV-14,135 min,"Action & Adventure, Dramas, War Movies","The story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the enemy soldiers away from Indian territory contributed immensely in India's win in the Kargil War."
148,Movie,Sardar Udham,Shoojit Sircar,"Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar",India,2021,TV-MA,164 min,"Dramas, Historical Movies, Thrillers","A biographical film about Udham Singh, a revolutionary freedom fighter who assassinated Michael O'Dwyer in London to avenge the 1919 Jallianwala Bagh massacre."
149,Movie,Gehraiyaan,Shakun Batra,"Deepika Padukone, Siddhant Chaturvedi, Ananya Panday, Dhairya Karwa, Naseeruddin Shah, Rajat Kapoor",India,2022,TV-MA,148 min,"Dramas, International Movies, Romantic Movies","A young woman finds herself at a crossroads in her life. Her six-year relationship has grown monotonous and her career has hit a roadblock. A trip with her cousin brings her to a new, complicated relationship."
150,Movie,Chandigarh Kare Aashiqui,Abhishek Kapoor,"Ayushmann Khurrana, Vaani Kapoor, Abhishek Bajaj",India,2021,TV-14,117 min,"Comedies, International Movies, Romantic Movies","A bodybuilder and gym owner in Chandigarh falls in love with a Zumba teacher. However, their relationship is put to the test when a surprising revelation comes to light."
151,Movie,Mimi,Laxman Utekar,"Kriti Sanon, Pankaj Tripathi, Sai Tamhankar, Evelyn Edwards",India,2021,TV-14,132 min,"Comedies, Dramas, International Movies","An aspiring actress in a small town in Rajasthan agrees to become a surrogate for an American couple. The film follows her journey through the ups and downs of surrogacy."
152,Movie,Jersey,Gowtam Tinnanuri,"Shahid Kapoor, Mrunal Thakur, Pankaj Kapur",India,2022,TV-14,170 min,"Dramas, Sports Movies","A talented but failed cricketer decides to return to the sport in his late thirties, driven by a desire to represent the Indian cricket team and fulfill his son's wish for a jersey."
153,Movie,Badhaai Do,Harshavardhan Kulkarni,"Rajkummar Rao, Bhumi Pednekar, Chum Darang, Sheeba Chaddha",India,2022,TV-14,147 min,"Comedies, Dramas, LGBTQ Movies","A gay cop and a lesbian teacher enter into a marriage of convenience to appease their prying families. They live as roommates but their arrangement is threatened when the woman's girlfriend comes to stay."
154,Movie,Jalsa,Suresh Triveni,"Vidya Balan, Shefali Shah, Manav Kaul, Rohini Hattangadi",India,2022,TV-MA,129 min,"Dramas, Thrillers","The story of a successful journalist and her cook, whose lives are thrown into turmoil after a hit-and-run incident involving the cook's daughter."
155,Movie,Dasvi,Tushar Jalota,"Abhishek Bachchan, Yami Gautam, Nimrat Kaur",India,2022,TV-14,126 min,"Comedies, Dramas, Social Issue Dramas","An uneducated and corrupt politician, who is jailed, decides to appear for his 10th-grade examinations to prove his mettle. His decision has unexpected consequences for his wife, who has taken over as Chief Minister."
156,TV Show,Yeh Kaali Kaali Ankhein,Sidharth Sengupta,"Tahir Raj Bhasin, Shweta Tripathi, Anchal Singh, Saurabh Shukla",India,2022,TV-MA,1 Season,"Crime TV Shows, Romantic TV Shows, Thrillers","A man's life takes a dark turn when he becomes the object of a powerful politician's daughter's obsessive desire. He must go to extreme lengths to reclaim his life."
157,Movie,Love Hostel,Shanker Raman,"Vikrant Massey, Sanya Malhotra, Bobby Deol",India,2022,TV-MA,100 min,"Crime Movies, Romantic Movies, Thrillers","A young couple from different religious backgrounds elope and get married. They are hunted by a ruthless mercenary hired by the girl's family."
158,Movie,A Thursday,Behzad Khambata,"Yami Gautam, Atul Kulkarni, Neha Dhupia, Dimple Kapadia",India,2022,TV-MA,129 min,"Thrillers","A playschool teacher takes 16 students hostage. Her demands send shockwaves through the country and put the police and the prime minister in a difficult position."
159,TV Show,The Great Indian Murder,Tigmanshu Dhulia,"Richa Chadda, Pratik Gandhi, Ashutosh Rana, Raghubir Yadav",India,2022,TV-MA,1 Season,"Crime TV Shows, Dramas, Mysteries","When a notorious industrialist is murdered at a party, two investigators must navigate a web of suspects, each with a motive for the crime."
160,Movie,Kaun Pravin Tambe?,Jayprad Desai,"Shreyas Talpade, Ashish Vidyarthi, Parambrata Chatterjee, Anjali Patil",India,2022,TV-14,134 min,"Dramas, Sports Movies","The incredible true story of Pravin Tambe, who made his professional cricket debut at the age of 41, proving that it's never too late to chase your dreams."
161,Movie,Anek,Anubhav Sinha,"Ayushmann Khurrana, Andrea Kevichüsa, Manoj Pahwa, J.D. Chakravarthy",India,2022,TV-MA,147 min,"Action & Adventure, Social Issue Dramas, Thrillers","An undercover cop on a mission to neutralize a separatist group in Northeast India begins to question his own beliefs and the idea of what it means to be an Indian."
